symbol,timestamp,open,high,low,close,volume
MSFT,2025-09-05T14:11:00Z,500.9242,501.1899,500.73,501.02,82236
MSFT,2025-09-05T14:12:00Z,501.02,501.44,500.96,501.2699,48154
MSFT,2025-09-05T14:13:00Z,501.18,501.685,501.09,501.48,80263
MSFT,2025-09-05T14:14:00Z,501.56,501.6599,501.25,501.27,65086
MSFT,2025-09-05T14:15:00Z,501.24,501.44,501.01,501.3401,50479
MSFT,2025-09-05T14:16:00Z,501.41,501.4175,501.0009,501.04,55354
MSFT,2025-09-05T14:17:00Z,501.08,501.251,500.97,501.17,47114
MSFT,2025-09-05T14:18:00Z,501.09,501.1382,500.7,500.72,70639
MSFT,2025-09-05T14:19:00Z,500.8,500.86,500.54,500.54,54254
MSFT,2025-09-05T14:20:00Z,500.54,500.9051,500.195,500.39,71056
MSFT,2025-09-05T14:21:00Z,500.39,500.6,500.1,500.6,70686
MSFT,2025-09-05T14:22:00Z,500.6,500.67,500.23,500.23,62910
MSFT,2025-09-05T14:23:00Z,500.25,500.3696,499.5436,499.5436,127718
MSFT,2025-09-05T14:24:00Z,499.565,499.615,499.16,499.36,81785
MSFT,2025-09-05T14:25:00Z,499.32,499.42,499.07,499.11,108905
MSFT,2025-09-05T14:26:00Z,499.09,499.09,498.56,498.68,142334
MSFT,2025-09-05T14:27:00Z,498.65,498.95,498.56,498.78,94915
MSFT,2025-09-05T14:28:00Z,498.75,498.93,498.17,498.26,122407
MSFT,2025-09-05T14:29:00Z,498.255,499.22,498.19,499.21,100845
MSFT,2025-09-05T14:30:00Z,499.15,499.5997,498.71,499.53,75944
MSFT,2025-09-05T14:31:00Z,499.52,499.6,499.25,499.49,57018
MSFT,2025-09-05T14:32:00Z,499.42,499.55,498.81,498.83,74695
MSFT,2025-09-05T14:33:00Z,498.85,499.2106,498.425,498.95,63466
MSFT,2025-09-05T14:34:00Z,498.89,498.98,498.6,498.8556,64979
MSFT,2025-09-05T14:35:00Z,498.81,499.24,498.21,498.34,89723
MSFT,2025-09-05T14:36:00Z,498.44,498.8125,498.255,498.27,84004
MSFT,2025-09-05T14:37:00Z,498.2999,498.5382,498.07,498.5382,62933
MSFT,2025-09-05T14:38:00Z,498.5,498.915,498.12,498.65,91540
MSFT,2025-09-05T14:39:00Z,498.61,499.0,498.42,498.995,33884
MSFT,2025-09-05T14:40:00Z,499.0,499.3799,498.73,499.1601,58774
MSFT,2025-09-05T14:41:00Z,499.3754,499.3754,498.5,498.72,54549
MSFT,2025-09-05T14:42:00Z,498.74,498.84,498.52,498.59,53740
MSFT,2025-09-05T14:43:00Z,498.6,499.12,498.53,498.86,55995
MSFT,2025-09-05T14:44:00Z,498.91,498.95,498.57,498.69,29484
MSFT,2025-09-05T14:45:00Z,498.66,498.66,498.055,498.055,59115
MSFT,2025-09-05T14:46:00Z,498.065,498.18,497.745,497.95,88350
MSFT,2025-09-05T14:47:00Z,497.91,497.91,497.6,497.685,51741
MSFT,2025-09-05T14:48:00Z,497.67,497.8499,497.2229,497.4,53420
MSFT,2025-09-05T14:49:00Z,497.34,497.57,497.31,497.475,60049
MSFT,2025-09-05T14:50:00Z,497.475,497.55,496.89,496.91,87702
MSFT,2025-09-05T14:51:00Z,496.91,497.74,496.91,497.74,64637
MSFT,2025-09-05T14:52:00Z,497.74,497.74,497.37,497.46,38853
MSFT,2025-09-05T14:53:00Z,497.44,497.46,497.15,497.4476,69611
MSFT,2025-09-05T14:54:00Z,497.29,497.35,497.0,497.17,66400
MSFT,2025-09-05T14:55:00Z,497.21,497.42,496.89,497.1387,97371
MSFT,2025-09-05T14:56:00Z,497.01,497.0799,496.01,496.63,127292
MSFT,2025-09-05T14:57:00Z,496.63,496.6994,496.07,496.14,51542
MSFT,2025-09-05T14:58:00Z,496.0962,496.176,495.265,495.265,113695
MSFT,2025-09-05T14:59:00Z,495.27,495.43,495.06,495.31,62901
MSFT,2025-09-05T15:00:00Z,495.32,495.5,495.01,495.2806,91840
MSFT,2025-09-05T15:01:00Z,495.346,495.365,494.72,494.89,162296
MSFT,2025-09-05T15:02:00Z,494.9,495.11,494.65,494.6509,134913
MSFT,2025-09-05T15:03:00Z,494.73,495.015,494.5,494.79,107251
MSFT,2025-09-05T15:04:00Z,494.73,495.0999,494.55,494.93,56739
MSFT,2025-09-05T15:05:00Z,494.93,495.08,494.58,494.865,62393
MSFT,2025-09-05T15:06:00Z,494.865,495.12,494.72,495.0,83358
MSFT,2025-09-05T15:07:00Z,495.005,495.2486,494.68,494.68,82930
MSFT,2025-09-05T15:08:00Z,494.68,495.4299,494.68,495.19,77975
MSFT,2025-09-05T15:09:00Z,495.205,495.5573,495.09,495.46,53861
MSFT,2025-09-05T15:10:00Z,495.49,495.58,494.68,494.78,60581
MSFT,2025-09-05T15:11:00Z,494.78,495.5926,494.75,495.57,42223
MSFT,2025-09-05T15:12:00Z,495.565,495.59,495.13,495.5,51574
MSFT,2025-09-05T15:13:00Z,495.535,495.72,495.275,495.72,85136
MSFT,2025-09-05T15:14:00Z,495.73,496.21,495.73,496.18,97219
MSFT,2025-09-05T15:15:00Z,496.22,497.018,496.14,496.9,130023
MSFT,2025-09-05T15:16:00Z,496.88,497.19,496.76,496.8105,103117
MSFT,2025-09-05T15:17:00Z,496.74,496.807,496.335,496.53,41567
MSFT,2025-09-05T15:18:00Z,496.48,496.555,496.0706,496.08,45176
MSFT,2025-09-05T15:19:00Z,496.14,496.566,496.12,496.47,41655
MSFT,2025-09-05T15:20:00Z,496.44,496.93,496.31,496.925,33880
MSFT,2025-09-05T15:21:00Z,496.84,497.1,496.73,496.86,62875
MSFT,2025-09-05T15:22:00Z,496.82,497.35,496.7058,497.31,41949
MSFT,2025-09-05T15:23:00Z,497.34,497.35,496.77,496.77,34998
MSFT,2025-09-05T15:24:00Z,496.75,497.03,496.75,496.92,42257
MSFT,2025-09-05T15:25:00Z,496.8879,497.12,496.86,496.98,49679
MSFT,2025-09-05T15:26:00Z,496.95,496.99,496.5811,496.86,48588
MSFT,2025-09-05T15:27:00Z,496.88,497.085,496.5,497.0,49650
MSFT,2025-09-05T15:28:00Z,496.9998,497.455,496.96,497.41,59722
MSFT,2025-09-05T15:29:00Z,497.4136,497.5279,497.07,497.115,39770
MSFT,2025-09-05T15:30:00Z,497.1148,497.28,496.63,496.68,45268
MSFT,2025-09-05T15:31:00Z,496.6758,496.78,496.52,496.59,37553
MSFT,2025-09-05T15:32:00Z,496.56,496.7,496.18,496.465,50200
MSFT,2025-09-05T15:33:00Z,496.49,497.0557,496.486,496.77,40228
MSFT,2025-09-05T15:34:00Z,496.775,496.78,496.47,496.71,62880
MSFT,2025-09-05T15:35:00Z,496.73,497.26,496.73,497.26,43536
MSFT,2025-09-05T15:36:00Z,497.2799,497.385,497.12,497.28,53681
MSFT,2025-09-05T15:37:00Z,497.25,497.51,497.18,497.48,57303
MSFT,2025-09-05T15:38:00Z,497.54,497.66,497.14,497.29,34275
MSFT,2025-09-05T15:39:00Z,497.285,497.328,496.91,497.0175,42925
MSFT,2025-09-05T15:40:00Z,496.95,497.31,496.93,497.2375,39466
MSFT,2025-09-05T15:41:00Z,497.28,497.74,497.1498,497.61,107461
MSFT,2025-09-05T15:42:00Z,497.61,497.7028,497.195,497.32,37490
MSFT,2025-09-05T15:43:00Z,497.33,497.55,497.29,497.395,47332
MSFT,2025-09-05T15:44:00Z,497.43,497.55,497.335,497.335,48283
MSFT,2025-09-05T15:45:00Z,497.35,497.38,496.6862,496.755,52695
MSFT,2025-09-05T15:46:00Z,496.81,496.99,496.57,496.595,37630
MSFT,2025-09-05T15:47:00Z,496.6,496.98,496.51,496.91,26421
MSFT,2025-09-05T15:48:00Z,496.9,496.905,496.72,496.74,20754
MSFT,2025-09-05T15:49:00Z,496.775,496.99,496.775,496.8375,28908
MSFT,2025-09-05T15:50:00Z,496.84,496.86,496.26,496.35,49783
MSFT,2025-09-05T15:51:00Z,496.4499,496.6199,496.38,496.61,62695
MSFT,2025-09-05T15:52:00Z,496.58,496.84,496.58,496.69,26466
MSFT,2025-09-05T15:53:00Z,496.7992,496.9,496.61,496.835,32194
MSFT,2025-09-05T15:54:00Z,496.84,496.84,496.5,496.74,34212
MSFT,2025-09-05T15:55:00Z,496.74,496.89,496.605,496.725,29100
MSFT,2025-09-05T15:56:00Z,496.76,496.91,496.74,496.8,28409
MSFT,2025-09-05T15:57:00Z,496.825,496.84,496.22,496.25,52025
MSFT,2025-09-05T15:58:00Z,496.24,496.402,496.0,496.0494,92544
MSFT,2025-09-05T15:59:00Z,496.055,496.44,496.055,496.31,20990
MSFT,2025-09-05T16:00:00Z,496.3,496.51,496.17,496.51,222917
MSFT,2025-09-05T16:01:00Z,496.48,496.58,496.34,496.555,155812
MSFT,2025-09-05T16:02:00Z,496.61,496.6582,496.16,496.2501,20650
MSFT,2025-09-05T16:03:00Z,496.3,496.3,495.78,495.79,28327
MSFT,2025-09-05T16:04:00Z,495.83,496.1233,495.82,496.06,23986
MSFT,2025-09-05T16:05:00Z,496.11,496.25,495.91,496.25,22744
MSFT,2025-09-05T16:06:00Z,496.2446,496.28,495.92,495.95,16856
MSFT,2025-09-05T16:07:00Z,495.96,496.08,495.8,495.925,26829
MSFT,2025-09-05T16:08:00Z,495.92,496.464,495.87,496.44,19339
MSFT,2025-09-05T16:09:00Z,496.4799,496.7665,496.44,496.7,26216
MSFT,2025-09-05T16:10:00Z,496.69,497.12,496.67,497.12,23371
MSFT,2025-09-05T16:11:00Z,497.03,497.0475,496.8,496.8869,19811
MSFT,2025-09-05T16:12:00Z,496.98,497.2,496.9285,496.95,30898
MSFT,2025-09-05T16:13:00Z,496.9,497.15,496.89,497.0827,23780
MSFT,2025-09-05T16:14:00Z,497.04,497.05,496.8,496.88,23764
MSFT,2025-09-05T16:15:00Z,496.82,497.0279,496.71,496.97,16778
MSFT,2025-09-05T16:16:00Z,496.92,497.03,496.75,496.8501,27123
MSFT,2025-09-05T16:17:00Z,496.9,496.9265,496.3,496.32,40886
MSFT,2025-09-05T16:18:00Z,496.27,496.4,496.1,496.23,25809
MSFT,2025-09-05T16:19:00Z,496.29,496.56,496.18,496.47,31815
MSFT,2025-09-05T16:20:00Z,496.535,496.8,496.535,496.74,21445
MSFT,2025-09-05T16:21:00Z,496.73,496.96,496.48,496.51,39309
MSFT,2025-09-05T16:22:00Z,496.49,496.64,496.39,496.54,23834
MSFT,2025-09-05T16:23:00Z,496.47,496.905,496.39,496.83,25841
MSFT,2025-09-05T16:24:00Z,496.83,497.155,496.83,497.1278,13354
MSFT,2025-09-05T16:25:00Z,497.13,497.13,496.71,496.93,17347
MSFT,2025-09-05T16:26:00Z,496.94,497.125,496.94,497.04,21707
MSFT,2025-09-05T16:27:00Z,497.085,497.13,497.01,497.07,17703
MSFT,2025-09-05T16:28:00Z,497.07,497.0982,496.79,496.79,17827
MSFT,2025-09-05T16:29:00Z,496.805,496.8797,496.7,496.845,17320
MSFT,2025-09-05T16:30:00Z,496.87,497.0104,496.81,496.88,27281
MSFT,2025-09-05T16:31:00Z,496.895,496.92,496.68,496.92,21157
MSFT,2025-09-05T16:32:00Z,496.91,496.91,496.6867,496.77,11410
MSFT,2025-09-05T16:33:00Z,496.73,496.73,496.32,496.32,27519
MSFT,2025-09-05T16:34:00Z,496.4,496.4377,496.18,496.2486,38841
MSFT,2025-09-05T16:35:00Z,496.25,496.34,496.03,496.09,46595
MSFT,2025-09-05T16:36:00Z,496.065,496.16,495.8,495.875,62472
MSFT,2025-09-05T16:37:00Z,495.89,495.95,495.77,495.88,41036
MSFT,2025-09-05T16:38:00Z,495.88,495.94,495.68,495.745,69391
MSFT,2025-09-05T16:39:00Z,495.735,495.815,495.51,495.62,47167
